Date,Ganre,Preference
201101,Ballad,0.21
201101,Dance,0.05
201101,Trot,0.38
201101,Indie,0.13
201101,Rap/Hiphop,0.03
201101,Folk/Blues,0.02
201101,Rock/Metal,0.07
201101,R&B/Soul,0.11
201102,Ballad,0.21
201102,Dance,0.05
201102,Trot,0.38
201102,Indie,0.13
201102,Rap/Hiphop,0.03
201102,Folk/Blues,0.02
201102,Rock/Metal,0.07
201102,R&B/Soul,0.11
201103,Ballad,0.21
201103,Dance,0.05
201103,Trot,0.38
201103,Indie,0.13
201103,Rap/Hiphop,0.03
201103,Folk/Blues,0.02
201103,Rock/Metal,0.07
201103,R&B/Soul,0.11
201104,Ballad,0.21
201104,Dance,0.05
201104,Trot,0.38
201104,Indie,0.13
201104,Rap/Hiphop,0.03
201104,Folk/Blues,0.02
201104,Rock/Metal,0.07
201104,R&B/Soul,0.11
201105,Ballad,0.21
201105,Dance,0.05
201105,Trot,0.38
201105,Indie,0.13
201105,Rap/Hiphop,0.03
201105,Folk/Blues,0.02
201105,Rock/Metal,0.07
201105,R&B/Soul,0.11
201106,Ballad,0.21
201106,Dance,0.05
201106,Trot,0.38
201106,Indie,0.13
201106,Rap/Hiphop,0.03
201106,Folk/Blues,0.02
201106,Rock/Metal,0.07
201106,R&B/Soul,0.11
201107,Ballad,0.21
201107,Dance,0.05
201107,Trot,0.38
201107,Indie,0.13
201107,Rap/Hiphop,0.03
201107,Folk/Blues,0.02
201107,Rock/Metal,0.07
201107,R&B/Soul,0.11
201108,Ballad,0.21
201108,Dance,0.05
201108,Trot,0.38
201108,Indie,0.13
201108,Rap/Hiphop,0.03
201108,Folk/Blues,0.02
201108,Rock/Metal,0.07
201108,R&B/Soul,0.11
201109,Ballad,0.21
201109,Dance,0.05
201109,Trot,0.38
201109,Indie,0.13
201109,Rap/Hiphop,0.03
201109,Folk/Blues,0.02
201109,Rock/Metal,0.07
201109,R&B/Soul,0.11
201110,Ballad,0.21
201110,Dance,0.05
201110,Trot,0.38
201110,Indie,0.13
201110,Rap/Hiphop,0.03
201110,Folk/Blues,0.02
201110,Rock/Metal,0.07
201110,R&B/Soul,0.11
201111,Ballad,0.21
201111,Dance,0.05
201111,Trot,0.38
201111,Indie,0.13
201111,Rap/Hiphop,0.03
201111,Folk/Blues,0.02
201111,Rock/Metal,0.07
201111,R&B/Soul,0.11
201112,Ballad,0.21
201112,Dance,0.05
201112,Trot,0.38
201112,Indie,0.13
201112,Rap/Hiphop,0.03
201112,Folk/Blues,0.02
201112,Rock/Metal,0.07
201112,R&B/Soul,0.11
201201,Ballad,0.21
201201,Dance,0.05
201201,Trot,0.38
201201,Indie,0.13
201201,Rap/Hiphop,0.03
201201,Folk/Blues,0.02
201201,Rock/Metal,0.07
201201,R&B/Soul,0.11
201201,Ballad,0.21
201202,Dance,0.05
201202,Trot,0.38
201202,Indie,0.13
201202,Rap/Hiphop,0.03
201202,Folk/Blues,0.02
201202,Rock/Metal,0.07
201202,R&B/Soul,0.11
201203,Ballad,0.21
201203,Dance,0.05
201203,Trot,0.38
201203,Indie,0.13
201203,Rap/Hiphop,0.03
201203,Folk/Blues,0.02
201203,Rock/Metal,0.07
201203,R&B/Soul,0.11
201204,Ballad,0.21
201204,Dance,0.05
201204,Trot,0.38
201204,Indie,0.13
201204,Rap/Hiphop,0.03
201204,Folk/Blues,0.02
201204,Rock/Metal,0.07
201204,R&B/Soul,0.11
201205,Ballad,0.21
201205,Dance,0.05
201205,Trot,0.38
201205,Indie,0.13
201205,Rap/Hiphop,0.03
201205,Folk/Blues,0.02
201205,Rock/Metal,0.07
201205,R&B/Soul,0.11
201206,Ballad,0.21
201206,Dance,0.05
201206,Trot,0.38
201206,Indie,0.13
201206,Rap/Hiphop,0.03
201206,Folk/Blues,0.02
201206,Rock/Metal,0.07
201206,R&B/Soul,0.11
201207,Ballad,0.21
201207,Dance,0.05
201207,Trot,0.38
201207,Indie,0.13
201207,Rap/Hiphop,0.03
201207,Folk/Blues,0.02
201207,Rock/Metal,0.07
201207,R&B/Soul,0.11
201208,Ballad,0.21
201208,Dance,0.05
201208,Trot,0.38
201208,Indie,0.13
201208,Rap/Hiphop,0.03
201208,Folk/Blues,0.02
201208,Rock/Metal,0.07
201208,R&B/Soul,0.11
201209,Ballad,0.21
201209,Dance,0.05
201209,Trot,0.38
201209,Indie,0.13
201209,Rap/Hiphop,0.03
201209,Folk/Blues,0.02
201209,Rock/Metal,0.07
201209,R&B/Soul,0.11
201210,Ballad,0.21
201210,Dance,0.05
201210,Trot,0.38
201210,Indie,0.13
201210,Rap/Hiphop,0.03
201210,Folk/Blues,0.02
201210,Rock/Metal,0.07
201210,R&B/Soul,0.11
201211,Ballad,0.21
201211,Dance,0.05
201211,Trot,0.38
201211,Indie,0.13
201211,Rap/Hiphop,0.03
201211,Folk/Blues,0.02
201211,Rock/Metal,0.07
201211,R&B/Soul,0.11
201212,Ballad,0.21
201212,Dance,0.05
201212,Trot,0.38
201212,Indie,0.13
201212,Rap/Hiphop,0.03
201212,Folk/Blues,0.02
201212,Rock/Metal,0.07
201212,R&B/Soul,0.11
201711,Ballad,0.21
201711,Dance,0.05
201711,Trot,0.38
201711,Indie,0.13
201711,Rap/Hiphop,0.03
201711,Folk/Blues,0.02
201711,Rock/Metal,0.07
201711,R&B/Soul,0.11
